title,rank,meta,rating
Love between Fairy and Devil,#90,"Chinese Drama - 2022, 36 episodes",8.7
Weightlifting Fairy Kim Bok Joo,#91,"Korean Drama - 2016, 16 episodes",8.7
Moon Lovers: Scarlet Heart Ryeo,#92,"Korean Drama - 2016, 20 episodes",8.7
The Best Thing,#93,"Chinese Drama - 2025, 28 episodes",8.7
Eternal Love,#94,"Chinese Drama - 2017, 58 episodes",8.7
Word of Honor - Epilogue,#95,"Chinese Special - 2021, 1 episodes",8.7
Bloodhounds,#96,"Korean Drama - 2023, 8 episodes",8.7
Resident Playbook,#97,"Korean Drama - 2025, 12 episodes",8.7
Sweet Home,#98,"Korean Drama - 2020, 10 episodes",8.7
Story of Yanxi Palace,#99,"Chinese Drama - 2018, 70 episodes",8.7
Jack & Joker: U Steal My Heart!,#100,"Thai Drama - 2024, 12 episodes",8.7
Beyond Evil,#101,"Korean Drama - 2021, 16 episodes",8.7
SKY Castle,#102,"Korean Drama - 2018, 20 episodes",8.7
Youth of May,#103,"Korean Drama - 2021, 12 episodes",8.7
Taxi Driver Season 3,#104,"Korean Drama - 2025, 16 episodes",8.7
Through the Darkness,#105,"Korean Drama - 2022, 12 episodes",8.7
D.P. Season 2,#106,"Korean Drama - 2023, 6 episodes",8.7
Oh No! Here Comes Trouble,#107,"Taiwanese Drama - 2023, 12 episodes",8.7
Our Unwritten Seoul,#108,"Korean Drama - 2025, 12 episodes",8.7
Missing: The Other Side Season 2,#109,"Korean Drama - 2022, 14 episodes",8.7
Racket Boys,#110,"Korean Drama - 2021, 16 episodes",8.7
Queen of Tears,#111,"Korean Drama - 2024, 16 episodes",8.7
Dr. Romantic,#112,"Korean Drama - 2016, 20 episodes",8.7
The Guest,#113,"Korean Drama - 2018, 16 episodes",8.7
The Devil Judge,#114,"Korean Drama - 2021, 16 episodes",8.7
Fated Hearts,#115,"Chinese Drama - 2025, 38 episodes",8.7
Duang with You,#116,"Thai Drama - 2026, 12 episodes",8.7
Under the Skin,#117,"Chinese Drama - 2022, 20 episodes",8.7
The Penthouse: War in Life,#118,"Korean Drama - 2020, 21 episodes",8.7
The Penthouse Season 2: War in Life,#119,"Korean Drama - 2021, 13 episodes",8.7
Hometown Cha-Cha-Cha,#120,"Korean Drama - 2021, 16 episodes",8.7
Strong Girl Bong Soon,#121,"Korean Drama - 2017, 16 episodes",8.7
A Journey to Love,#122,"Chinese Drama - 2023, 40 episodes",8.7
My Name,#123,"Korean Drama - 2021, 8 episodes",8.7
While You Were Sleeping,#124,"Korean Drama - 2017, 32 episodes",8.7
Hikaru no Go,#125,"Chinese Drama - 2020, 36 episodes",8.6
Business Proposal,#126,"Korean Drama - 2022, 12 episodes",8.6
High School Frenemy,#127,"Thai Drama - 2024, 16 episodes",8.6
Family by Choice,#128,"Korean Drama - 2024, 16 episodes",8.6
Bloodhounds Season 2,#129,"Korean Drama - 2026, 7 episodes",8.6
You Are My Glory,#130,"Chinese Drama - 2021, 32 episodes",8.6
The Price of Confession,#131,"Korean Drama - 2025, 12 episodes",8.6
Story of Kunning Palace,#132,"Chinese Drama - 2023, 38 episodes",8.6
Arthdal Chronicles Part 3: The Prelude to All Legends,#133,"Korean Drama - 2019, 6 episodes",8.6
Me and Thee,#134,"Thai Drama - 2025, 10 episodes",8.6
"Kill Me, Heal Me",#135,"Korean Drama - 2015, 20 episodes",8.6
One Piece Season 2: Into the Grand Line,#136,"Japanese Drama - 2026, 8 episodes",8.6
Family Matters,#137,"Korean Drama - 2024, 6 episodes",8.6
The Judge from Hell,#138,"Korean Drama - 2024, 14 episodes",8.6
The First Responders Season 2,#139,"Korean Drama - 2023, 12 episodes",8.6
Strangers from Hell,#140,"Korean Drama - 2019, 10 episodes",8.6
Guardians of the Dafeng,#141,"Chinese Drama - 2024, 40 episodes",8.6
Agent Kim Reactivated,#142,"Korean Drama - 2026, 10 episodes",8.6
First Love,#143,"Japanese Drama - 2022, 9 episodes",8.6
The Early Spring,#144,"Chinese Drama - 2026, 24 episodes",8.6
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",#145,"Korean Drama - 2019, 6 episodes",8.6
The Legend of Shen Li,#146,"Chinese Drama - 2024, 39 episodes",8.6
Blossoms in Adversity,#147,"Chinese Drama - 2024, 40 episodes",8.6
The Worst of Evil,#148,"Korean Drama - 2023, 12 episodes",8.6
I Am Nobody,#149,"Chinese Drama - 2023, 27 episodes",8.6
Always Home,#150,"Chinese Drama - 2025, 30 episodes",8.6
Mr.Kill,#151,"Thai Drama - 2026, 10 episodes",8.5
All of Us Are Dead,#152,"Korean Drama - 2022, 12 episodes",8.6
Life on Mars,#153,"Korean Drama - 2018, 16 episodes",8.6
Duty after School: Part 1,#154,"Korean Drama - 2023, 6 episodes",8.6
Love and Redemption,#155,"Chinese Drama - 2020, 59 episodes",8.6
Flex X Cop,#156,"Korean Drama - 2024, 16 episodes",8.6
Who Rules the World,#157,"Chinese Drama - 2022, 40 episodes",8.6
Defendant,#158,"Korean Drama - 2017, 18 episodes",8.6
Lighter & Princess,#159,"Chinese Drama - 2022, 36 episodes",8.6
Coroner's Diary,#160,"Chinese Drama - 2025, 38 episodes",8.6
Chicago Typewriter,#161,"Korean Drama - 2017, 16 episodes",8.6
New Life Begins,#162,"Chinese Drama - 2022, 40 episodes",8.6
Descendants of the Sun,#163,"Korean Drama - 2016, 16 episodes",8.6
Six Flying Dragons,#164,"Korean Drama - 2015, 50 episodes",8.6
Missing: The Other Side,#165,"Korean Drama - 2020, 12 episodes",8.6
When Destiny Brings the Demon,#166,"Chinese Drama - 2025, 33 episodes",8.6
See Your Love,#167,"Taiwanese Drama - 2024, 13 episodes",8.6
Khemjira,#168,"Thai Drama - 2025, 12 episodes",8.6
Misaeng: Incomplete Life,#169,"Korean Drama - 2014, 20 episodes",8.6
My Perfect Stranger,#170,"Korean Drama - 2023, 16 episodes",8.6
Mouse: The Predator,#171,"Korean Drama - 2021, 2 episodes",8.6
School Trip: Joined a Group I’m Not Close To,#172,"Japanese Drama - 2025, 10 episodes",8.6
The Fiery Priest,#173,"Korean Drama - 2019, 40 episodes",8.6
The Long Ballad,#174,"Chinese Drama - 2021, 49 episodes",8.6
Our Blues,#175,"Korean Drama - 2022, 20 episodes",8.6
Till the End of the Moon,#176,"Chinese Drama - 2023, 40 episodes",8.6
