title,rank,meta,rating
Code Blue Season 2,#766,"Japanese Drama - 2010, 11 episodes",8.3
Our Youth: After Story,#767,"Japanese Special - 2025, 2 episodes",8.3
Beyond the Bar,#768,"Korean Drama - 2025, 12 episodes",8.3
Tree with Deep Roots,#769,"Korean Drama - 2011, 24 episodes",8.3
A Splendid Match,#770,"Chinese Drama - 2026, 40 episodes",8.3
Super Junior: The Last Man Standing,#771,"Korean Drama - 2023, 2 episodes",8.3
A Familiar Stranger,#772,"Chinese Drama - 2022, 18 episodes",8.3
Tell Me What You Saw,#773,"Korean Drama - 2020, 16 episodes",8.3
Liar Game,#774,"Japanese Drama - 2007, 11 episodes",8.3
Hymn of Death,#775,"Korean Drama - 2018, 6 episodes",8.3
Bloody Monday Season 2,#776,"Japanese Drama - 2010, 9 episodes",8.3
Cases between Us,#777,"Chinese Drama - 2026, 36 episodes",8.3
The Nokdu Flower,#778,"Korean Drama - 2019, 48 episodes",8.3
Midnight Diner Season 2,#779,"Japanese Drama - 2011, 10 episodes",8.3
"Safe Skies, Archer",#780,"Filipino Drama - 2023, 10 episodes",8.3
A Calm Sea and Beautiful Days with You,#781,"Japanese Drama - 2025, 10 episodes",8.3
Devil,#782,"Japanese Drama - 2008, 11 episodes",8.3
The Time of Fever,#783,"Korean Drama - 2024, 6 episodes",8.3
Behind the Door,#784,"Japanese Drama - 2019, 6 episodes",8.3
King the Land,#785,"Korean Drama - 2023, 16 episodes",8.3
Three Kingdoms,#786,"Chinese Drama - 2010, 95 episodes",8.3
The Tale of Nokdu,#787,"Korean Drama - 2019, 32 episodes",8.3
I Feel You Linger in the Air,#788,"Thai Drama - 2023, 12 episodes",8.3
Me and Who,#789,"Thai Drama - 2025, 10 episodes",8.3
A Bloody Lucky Day,#790,"Korean Drama - 2023, 10 episodes",8.3
Ordinary Greatness,#791,"Chinese Drama - 2022, 38 episodes",8.3
Man of Vengeance,#792,"Thai Drama - 2019, 27 episodes",8.3
Confession,#793,"Korean Drama - 2019, 16 episodes",8.3
Class Crush Crisis,#794,"Thai Drama - 2026, 8 episodes",8.3
My Secret Terrius,#795,"Korean Drama - 2018, 32 episodes",8.3
Doctor X Season 3,#796,"Japanese Drama - 2014, 11 episodes",8.3
Arthdal Chronicles: The Sword of Aramun,#797,"Korean Drama - 2023, 12 episodes",8.3
Thirty-Nine,#798,"Korean Drama - 2022, 12 episodes",8.3
Coffee Prince,#799,"Korean Drama - 2007, 17 episodes",8.3
Kamen Rider OOO,#800,"Japanese Drama - 2010, 48 episodes",8.3
Don't Disturb My Study,#801,"Chinese Drama - 2021, 24 episodes",8.3
My Girlfriend Is an Alien,#802,"Chinese Drama - 2019, 28 episodes",8.3
Usotoki Rhetoric,#803,"Japanese Drama - 2024, 11 episodes",8.3
"At a Distance, Spring Is Green",#804,"Korean Drama - 2021, 12 episodes",8.3
The Oath of Love,#805,"Chinese Drama - 2022, 32 episodes",8.3
Last Samurai Standing,#806,"Japanese Drama - 2025, 6 episodes",8.3
Young Blood,#807,"Chinese Drama - 2019, 42 episodes",8.3
Oh My Ghost Clients,#808,"Korean Drama - 2025, 10 episodes",8.3
Triage,#809,"Thai Drama - 2022, 13 episodes",8.3
Legal High 2,#810,"Japanese Drama - 2013, 10 episodes",8.3
Gaus Electronics,#811,"Korean Drama - 2022, 12 episodes",8.3
Extracurricular,#812,"Korean Drama - 2020, 10 episodes",8.3
Hold My Hand at Twilight,#813,"Japanese Drama - 2023, 10 episodes",8.3
Again My Life,#814,"Korean Drama - 2022, 16 episodes",8.3
Moonlit Reunion,#815,"Chinese Drama - 2025, 38 episodes",8.3
The Beauty Inside,#816,"Korean Drama - 2018, 16 episodes",8.3
My Love Mix-Up!,#817,"Japanese Drama - 2021, 10 episodes",8.3
Class of Lies,#818,"Korean Drama - 2019, 16 episodes",8.3
Boys in Love,#819,"Thai Drama - 2025, 12 episodes",8.3
The Tale of Rose,#820,"Chinese Drama - 2024, 38 episodes",8.2
Who Are You,#821,"Thai Drama - 2020, 18 episodes",8.3
Burnout Syndrome,#822,"Thai Drama - 2025, 10 episodes",8.2
To My Beloved Thief,#823,"Korean Drama - 2026, 16 episodes",8.2
Glory,#824,"Chinese Drama - 2025, 36 episodes",8.2
SPEC: Birth,#825,"Japanese Drama - 2010, 10 episodes",8.2
Ancient Detective,#826,"Chinese Drama - 2020, 24 episodes",8.2
The Fiery Priest Season 2,#827,"Korean Drama - 2024, 12 episodes",8.2
D-Day,#828,"Korean Drama - 2015, 20 episodes",8.2
My Fated Boy,#829,"Chinese Drama - 2021, 29 episodes",8.2
As You Stood By,#830,"Korean Drama - 2025, 8 episodes",8.2
Here We Meet Again,#831,"Chinese Drama - 2023, 32 episodes",8.2
Call It Love,#832,"Korean Drama - 2023, 16 episodes",8.2
The Boy Next World Special Episode: A World Where We Don’t Know Each Other,#833,"Thai Special - 2025, 1 episodes",8.2
Ping Pong Life,#834,"Chinese Drama - 2021, 44 episodes",8.2
Our Dining Table,#835,"Japanese Drama - 2023, 10 episodes",8.2
Search: WWW,#836,"Korean Drama - 2019, 16 episodes",8.2
Perfect and Casual,#837,"Chinese Drama - 2020, 24 episodes",8.2
Somewhere Somehow,#838,"Thai Drama - 2025, 13 episodes",8.2
God's Quiz: Reboot,#839,"Korean Drama - 2018, 16 episodes",8.2
Suspicious Partner,#840,"Korean Drama - 2017, 40 episodes",8.2
The Last Immortal,#841,"Chinese Drama - 2023, 40 episodes",8.2
Legend of the Magnate,#842,"Chinese Drama - 2025, 40 episodes",8.2
The Makanai: Cooking for the Maiko House,#843,"Japanese Drama - 2023, 9 episodes",8.2
The Blood of Youth Extra,#844,"Chinese Special - 2023, 1 episodes",8.2
The Sword and the Brocade,#845,"Chinese Drama - 2021, 45 episodes",8.2
Back to Seventeen,#846,"Chinese Drama - 2023, 25 episodes",8.2
Bright Time,#847,"Chinese Drama - 2024, 32 episodes",8.3
49 Days,#848,"Korean Drama - 2011, 20 episodes",8.2
Chef Hua,#849,"Chinese Drama - 2020, 36 episodes",8.2
An Ancient Love Song,#850,"Chinese Drama - 2023, 14 episodes",8.2
Oh My Ghost,#851,"Korean Drama - 2015, 16 episodes",8.2
The Story of Park's Marriage Contract,#852,"Korean Drama - 2023, 12 episodes",8.2
A Love So Beautiful,#853,"Chinese Drama - 2017, 23 episodes",8.2
Divorce Attorney Shin,#854,"Korean Drama - 2023, 12 episodes",8.2
Our Sticky Love,#855,"Korean Drama - 2026, 12 episodes",8.2
Love of Nirvana,#856,"Chinese Drama - 2024, 40 episodes",8.2
May I Help You?,#857,"Korean Drama - 2022, 16 episodes",8.2
We Best Love: No. 1 For You,#858,"Taiwanese Drama - 2021, 6 episodes",8.2
Bulgasal: Immortal Souls,#859,"Korean Drama - 2021, 16 episodes",8.2
Your Sky,#860,"Thai Drama - 2024, 12 episodes",8.2
Nodame Cantabile,#861,"Japanese Drama - 2006, 11 episodes",8.2
Dr. Storks Season 2,#862,"Japanese Drama - 2017, 11 episodes",8.2
Awaken,#863,"Korean Drama - 2020, 16 episodes",8.2
Lawless Lawyer,#864,"Korean Drama - 2018, 16 episodes",8.2
Affair,#865,"Thai Drama - 2024, 8 episodes",8.2
"Good Bye, My Princess",#866,"Chinese Drama - 2019, 52 episodes",8.2
Parallel World,#867,"Chinese Drama - 2023, 38 episodes",8.2
Boys over Flowers Season 2,#868,"Japanese Drama - 2007, 11 episodes",8.2
Scent of Time,#869,"Chinese Drama - 2023, 30 episodes",8.2
Love in the Air: Special Episode,#870,"Thai Special - 2022, 1 episodes",8.2
Bloom Life,#871,"Chinese Drama - 2026, 8 episodes",8.2
"To Sir, with Love",#872,"Thai Drama - 2022, 17 episodes",8.2
Special Affairs Team TEN,#873,"Korean Drama - 2011, 9 episodes",8.2
The Sleepless Princess Special,#874,"Chinese Special - 2020, 1 episodes",8.2
Sunsets Secrets Regrets,#875,"Chinese Drama - 2026, 28 episodes",8.2
We Best Love: Fighting Mr. 2nd Special Edition,#876,"Taiwanese Drama - 2021, 6 episodes",8.2
Memoir of Rati,#877,"Thai Drama - 2025, 12 episodes",8.2
Asa ga Kita,#878,"Japanese Drama - 2015, 156 episodes",8.2
You Who Came from the Stars: The Beginning,#879,"Korean Special - 2014, 1 episodes",8.2
Ray of Light,#880,"Chinese Drama - 2023, 30 episodes",8.2
Detective L,#881,"Chinese Drama - 2019, 24 episodes",8.2
Blood River,#882,"Chinese Drama - 2025, 38 episodes",8.2
I Belonged to Your World,#883,"Chinese Drama - 2023, 20 episodes",8.2
GTO,#884,"Japanese Drama - 1998, 12 episodes",8.2
Novoland: Pearl Eclipse,#885,"Chinese Drama - 2021, 48 episodes",8.2
The Legends,#886,"Chinese Drama - 2019, 56 episodes",8.2
The First Jasmine,#887,"Chinese Drama - 2026, 40 episodes",8.2
God's Quiz,#888,"Korean Drama - 2010, 10 episodes",8.2
That Summer,#889,"Thai Drama - 2025, 10 episodes",8.2
The Judge Returns,#890,"Korean Drama - 2026, 14 episodes",8.2
Love in the Moonlight,#891,"Korean Drama - 2016, 18 episodes",8.2
The Guardians,#892,"Korean Drama - 2017, 32 episodes",8.2
"Okaasan, Ore wa Daijoubu",#893,"Japanese Special - 2015, 1 episodes",8.2
My Secret Bride,#894,"Thai Drama - 2019, 18 episodes",8.2
Celebrity,#895,"Korean Drama - 2023, 12 episodes",8.2
Kingdom: Ashin of the North,#896,"Korean Drama - 2021, 1 episodes",8.2
Oh My Venus,#897,"Korean Drama - 2015, 16 episodes",8.2
Oshin,#898,"Japanese Drama - 1983, 297 episodes",8.2
Graceful Family,#899,"Korean Drama - 2019, 16 episodes",8.2
Long Vacation,#900,"Japanese Drama - 1996, 11 episodes",8.2
The Eclipse,#901,"Thai Drama - 2022, 12 episodes",8.2
Orange Days,#902,"Japanese Drama - 2004, 11 episodes",8.2
Leverage,#903,"Korean Drama - 2019, 16 episodes",8.2
Love O2O,#904,"Chinese Drama - 2016, 30 episodes",8.2
If Wishes Could Kill,#905,"Korean Drama - 2026, 8 episodes",8.2
Princess Agents,#906,"Chinese Drama - 2017, 67 episodes",8.2
Journey to the West,#907,"Hong Kong Drama - 1996, 30 episodes",8.2
Abandoned,#908,"Japanese Drama - 2014, 9 episodes",8.2
One: High School Heroes,#909,"Korean Drama - 2025, 8 episodes",8.2
Watcher,#910,"Korean Drama - 2019, 16 episodes",8.2
The Warp Effect,#911,"Thai Drama - 2022, 12 episodes",8.2
The Smile Has Left Your Eyes,#912,"Korean Drama - 2018, 16 episodes",8.2
This Thriving Land,#913,"Chinese Drama - 2025, 36 episodes",8.2
My Girlfriend Is an Alien Season 2,#914,"Chinese Drama - 2022, 30 episodes",8.2
Road Home,#915,"Chinese Drama - 2023, 30 episodes",8.2
You Are My Secret,#916,"Chinese Drama - 2024, 32 episodes",8.2
Live Up to Your Name,#917,"Korean Drama - 2017, 16 episodes",8.2
Hana-Kimi,#918,"Japanese Drama - 2007, 12 episodes",8.2
A Little Reunion,#919,"Chinese Drama - 2019, 49 episodes",8.2
Gokusen,#920,"Japanese Drama - 2002, 12 episodes",8.2
Touch Your Heart,#921,"Korean Drama - 2019, 16 episodes",8.2
High&Low: The Story of S.W.O.R.D. Season 2,#922,"Japanese Drama - 2016, 10 episodes",8.2
The Princess Royal,#923,"Chinese Drama - 2024, 40 episodes",8.2
"My Love, Enlighten Me",#924,"Chinese Drama - 2020, 24 episodes",8.2
Memory,#925,"Korean Drama - 2016, 16 episodes",8.2
Song of the Bandits,#926,"Korean Drama - 2023, 9 episodes",8.2
Doctor Slump,#927,"Korean Drama - 2024, 16 episodes",8.2
Doctor X Season 2,#928,"Japanese Drama - 2013, 9 episodes",8.2
Heaven and Hell: Soul Exchange,#929,"Japanese Drama - 2021, 10 episodes",8.2
Brotherly Secret,#930,"Korean Special - 2022, 1 episodes",8.2
She Makes My Heart Flutter,#931,"Korean Drama - 2022, 5 episodes",8.2
The Penthouse Season 3: War in Life,#932,"Korean Drama - 2021, 14 episodes",8.2
19th Floor,#933,"Chinese Drama - 2024, 30 episodes",8.2
The On1y One,#934,"Taiwanese Drama - 2024, 12 episodes",8.2
The Demon Hunter's Romance,#935,"Chinese Drama - 2025, 36 episodes",8.2
The Happy Loner,#936,"Korean Special - 2017, 2 episodes",8.2
Hit the Spot,#937,"Korean Drama - 2022, 8 episodes",8.2
Nagi's Long Vacation,#938,"Japanese Drama - 2019, 10 episodes",8.2
Ode to Joy,#939,"Chinese Drama - 2016, 42 episodes",8.2
Nothing but You,#940,"Chinese Drama - 2023, 38 episodes",8.2
Dazzling,#941,"Chinese Drama - 2026, 30 episodes",8.2
Gyeongseong Creature Season 2,#942,"Korean Drama - 2024, 7 episodes",8.2
Filter,#943,"Chinese Drama - 2025, 32 episodes",8.2
Missing Noir M,#944,"Korean Drama - 2015, 10 episodes",8.2
"Every You, Every me (Director's Cut.)",#945,"Thai Drama - 2024, 8 episodes",8.2
My Forever Sunshine,#946,"Thai Drama - 2020, 19 episodes",8.2
Bad Prosecutor,#947,"Korean Drama - 2022, 12 episodes",8.2
Manner of Death,#948,"Thai Drama - 2020, 14 episodes",8.2
Strange Tales of Tang Dynasty 3: To Changan,#949,"Chinese Drama - 2025, 40 episodes",8.2
Ghost,#950,"Korean Drama - 2012, 20 episodes",8.2
Youthful Glory,#951,"Chinese Drama - 2025, 30 episodes",8.2
Queen for Seven Days,#952,"Korean Drama - 2017, 20 episodes",8.2
Delicious Romance,#953,"Chinese Drama - 2021, 20 episodes",8.2
Welcome 2 Life,#954,"Korean Drama - 2019, 32 episodes",8.2
My Unicorn Girl,#955,"Chinese Drama - 2020, 24 episodes",8.2
Last Twilight: Uncut Version,#956,"Thai Drama - 2023, 12 episodes",8.2
The Good Detective Season 2,#957,"Korean Drama - 2022, 16 episodes",8.2
The Memorandum of Kyoko Okitegami,#958,"Japanese Drama - 2015, 10 episodes",8.2
Queenmaker,#959,"Korean Drama - 2023, 11 episodes",8.2
Barakamon,#960,"Japanese Drama - 2023, 11 episodes",8.2
Jirisan,#961,"Korean Drama - 2021, 16 episodes",8.2
Nothing but Thirty,#962,"Chinese Drama - 2020, 43 episodes",8.2
Boys over Flowers,#963,"Japanese Drama - 2005, 9 episodes",8.2
The K2,#964,"Korean Drama - 2016, 16 episodes",8.2
Oh My Geum Bi,#965,"Korean Drama - 2016, 16 episodes",8.2
What Happens to My Family?,#966,"Korean Drama - 2014, 53 episodes",8.2
The Truth Within,#967,"Chinese Drama - 2025, 21 episodes",8.2
Angry Mom,#968,"Korean Drama - 2015, 16 episodes",8.2
To. Jenny,#969,"Korean Drama - 2018, 2 episodes",8.2
Roller Coaster,#970,"Thai Drama - 2025, 8 episodes",8.2
Black Forceps,#971,"Japanese Drama - 2018, 10 episodes",8.2
Are You Human?,#972,"Korean Drama - 2018, 36 episodes",8.2
Influence,#973,"Japanese Drama - 2021, 5 episodes",8.2
Dearest,#974,"Japanese Drama - 2021, 10 episodes",8.2
A Gentleman's Dignity,#975,"Korean Drama - 2012, 20 episodes",8.2
Reborn Rookie,#976,"Korean Drama - 2026, 12 episodes",8.2
"No Gain, No Love",#977,"Korean Drama - 2024, 12 episodes",8.2
If My Wife Becomes an Elementary School Student.,#978,"Japanese Drama - 2022, 10 episodes",8.2
Avataro Sentai Donbrothers,#979,"Japanese Drama - 2022, 50 episodes",8.2
My Romance Scammer,#980,"Thai Drama - 2026, 12 episodes",8.2
Alliance,#981,"Chinese Drama - 2023, 36 episodes",8.2
On a Starry Night,#982,"Japanese Drama - 2023, 9 episodes",8.2
Ossan's Love Returns,#983,"Japanese Drama - 2024, 9 episodes",8.2
A Date with the Future,#984,"Chinese Drama - 2023, 36 episodes",8.2
Dhevaprom: Dujupsorn,#985,"Thai Drama - 2024, 15 episodes",8.2
Pegasus Market,#986,"Korean Drama - 2019, 12 episodes",8.2
Kiss That Kills,#987,"Japanese Drama - 2018, 10 episodes",8.2
God's Quiz Season 3,#988,"Korean Drama - 2012, 12 episodes",8.2
Begin Again,#989,"Chinese Drama - 2020, 35 episodes",8.2
Moonlight Chicken,#990,"Thai Drama - 2023, 8 episodes",8.2
Mine,#991,"Korean Drama - 2021, 16 episodes",8.2
Regeneration,#992,"Chinese Drama - 2024, 10 episodes",8.2
Stepmom and Daughter Blues,#993,"Japanese Drama - 2018, 10 episodes",8.2
The King 2 Hearts,#994,"Korean Drama - 2012, 20 episodes",8.2
Qing Qing Zi Jin,#995,"Chinese Drama - 2020, 40 episodes",8.2
Lovers of the Red Sky,#996,"Korean Drama - 2021, 16 episodes",8.2
God's Quiz Season 2,#997,"Korean Drama - 2011, 12 episodes",8.2
Crazy Love,#998,"Korean Drama - 2022, 16 episodes",8.2
Love Playlist Season 4,#999,"Korean Drama - 2019, 16 episodes",8.2
Crash,#1000,"Korean Drama - 2024, 12 episodes",8.2
Remember: War of the Son,#1001,"Korean Drama - 2015, 20 episodes",8.2
Zomvivor,#1002,"Thai Drama - 2025, 7 episodes",8.2
Midnight Diner: Tokyo Stories,#1003,"Japanese Drama - 2016, 10 episodes",8.2
Rookie Historian Goo Hae Ryung,#1004,"Korean Drama - 2019, 40 episodes",8.2
A Korean Odyssey,#1005,"Korean Drama - 2017, 20 episodes",8.2
Thorough Investigation,#1006,"Korean Special - 2022, 1 episodes",8.2
Ossan no Pants ga Nandatte Ii Janai ka!,#1007,"Japanese Drama - 2024, 11 episodes",8.2
Salon De Nabi,#1008,"Korean Drama - 2022, 16 episodes",8.2
Misty,#1009,"Korean Drama - 2018, 16 episodes",8.2
Spare Me Your Mercy,#1010,"Thai Drama - 2024, 8 episodes",8.2
The Legend of Zhuohua,#1011,"Chinese Drama - 2023, 40 episodes",8.2
Maria Clara and Ibarra,#1012,"Filipino Drama - 2022, 105 episodes",8.2
Phantom Lawyer,#1013,"Korean Drama - 2026, 16 episodes",8.2
Love beyond the Grave: Extra,#1014,"Chinese Drama - 2026, 1 episodes",8.2
The King: Eternal Monarch,#1015,"Korean Drama - 2020, 16 episodes",8.2
The Legend of the Condor Heroes,#1016,"Hong Kong Drama - 1983, 59 episodes",8.2
The Eternal Love Season 2,#1017,"Chinese Drama - 2018, 30 episodes",8.2
School 2013,#1018,"Korean Drama - 2012, 16 episodes",8.2
Liar Game,#1019,"Korean Drama - 2014, 12 episodes",8.2
Harmony Secret,#1020,"Thai Drama - 2025, 8 episodes",8.2
"Wait, My Youth",#1021,"Chinese Drama - 2019, 24 episodes",8.2
Miss S,#1022,"Chinese Drama - 2020, 34 episodes",8.2
Who Are You: School 2015,#1023,"Korean Drama - 2015, 16 episodes",8.2
Be My Player Two,#1024,"Thai Drama - 2026, 10 episodes",8.0
Where Have My Skirts Gone?,#1025,"Japanese Drama - 2019, 10 episodes",8.2
Gen Z,#1026,"Chinese Drama - 2023, 40 episodes",8.2
The Way Home,#1027,"Chinese Drama - 2024, 16 episodes",8.2
Veil of Shadows,#1028,"Chinese Drama - 2026, 29 episodes",8.2
Page Turner,#1029,"Korean Special - 2016, 3 episodes",8.2
Find Me in Your Memory,#1030,"Korean Drama - 2020, 32 episodes",8.2
Agency,#1031,"Korean Drama - 2023, 16 episodes",8.2
The Knockout,#1032,"Chinese Drama - 2023, 39 episodes",8.2
May It Please the Court,#1033,"Korean Drama - 2022, 12 episodes",8.2
Jack & Joker: U Steal My Heart! Special Episode,#1034,"Thai Special - 2025, 1 episodes",8.2
You Are My Lover Friend,#1035,"Chinese Drama - 2024, 30 episodes",8.2
Jun Jiu Ling,#1036,"Chinese Drama - 2021, 40 episodes",8.2
The Hot Spot,#1037,"Japanese Drama - 2025, 10 episodes",8.2
My Uncanny Destiny,#1038,"Chinese Drama - 2023, 24 episodes",8.2
Summer Again,#1039,"Chinese Drama - 2021, 24 episodes",8.2
Fights Break Sphere,#1040,"Chinese Drama - 2018, 45 episodes",8.2
Secret Garden,#1041,"Korean Drama - 2010, 20 episodes",8.2
Teasing Master Takagi-san,#1042,"Japanese Drama - 2024, 8 episodes",8.2
Blue Birthday,#1043,"Korean Drama - 2021, 16 episodes",8.2
We Best Love: Fighting Mr. 2nd,#1044,"Taiwanese Drama - 2021, 6 episodes",8.2
Princess Pearl Season 2,#1045,"Chinese Drama - 1999, 48 episodes",8.2
Why I Dress up for Love,#1046,"Japanese Drama - 2021, 10 episodes",8.2
My Stand-In: Uncut,#1047,"Thai Drama - 2024, 12 episodes",8.2
Love Mechanics: Director's Cut,#1048,"Thai Drama - 2022, 3 episodes",8.2
Doctor X Season 4,#1049,"Japanese Drama - 2016, 11 episodes",8.2
Cat for Cash,#1050,"Thai Drama - 2026, 10 episodes",8.2
House Rules,#1051,"Chinese Special - 2019, 1 episodes",8.2
A Love So Beautiful Special,#1052,"Chinese Special - 2017, 1 episodes",8.2
Sungkyunkwan Scandal,#1053,"Korean Drama - 2010, 20 episodes",8.2
Antarctica,#1054,"Japanese Drama - 2011, 10 episodes",8.2
The Advisors Alliance,#1055,"Chinese Drama - 2017, 42 episodes",8.2
Fake Fact Lips,#1056,"Japanese Drama - 2026, 9 episodes",8.2
Miraculous Brothers,#1057,"Korean Drama - 2023, 16 episodes",8.2
Gank Your Heart,#1058,"Chinese Drama - 2019, 35 episodes",8.2
Destined with You,#1059,"Korean Drama - 2023, 16 episodes",8.2
We Are,#1060,"Thai Drama - 2024, 16 episodes",8.2
NADAO x OPPO,#1061,"Thai Special - 2021, 1 episodes",8.2
Bloody Heart,#1062,"Korean Drama - 2022, 16 episodes",8.2
Secret of Three Kingdoms,#1063,"Chinese Drama - 2018, 54 episodes",8.2
Intense Love,#1064,"Chinese Drama - 2020, 24 episodes",8.2
The Queen Who Crowns,#1065,"Korean Drama - 2025, 12 episodes",8.2
Under the Microscope,#1066,"Chinese Drama - 2023, 14 episodes",8.2
General's Lady,#1067,"Chinese Drama - 2020, 30 episodes",8.2
Miss Night and Day,#1068,"Korean Drama - 2024, 16 episodes",8.2
The Muse of Section E,#1069,"Filipino Drama - 2025, 16 episodes",8.2
Welcome to Waikiki Special,#1070,"Korean Drama - 2018, 2 episodes",8.2
My Heroic Husband,#1071,"Chinese Drama - 2021, 36 episodes",8.2
Black Knight,#1072,"Korean Drama - 2023, 6 episodes",8.2
Kill It,#1073,"Korean Drama - 2019, 12 episodes",8.2
Luoyang,#1074,"Chinese Drama - 2021, 39 episodes",8.2
Heavenly Sword and Dragon Slaying Sabre,#1075,"Chinese Drama - 2019, 50 episodes",8.2
Secret Relationships,#1076,"Korean Drama - 2025, 8 episodes",8.2
Something about 1 Percent,#1077,"Korean Drama - 2016, 16 episodes",8.2
Sweet Home Season 3,#1078,"Korean Drama - 2024, 8 episodes",8.2
Once We Get Married,#1079,"Chinese Drama - 2021, 24 episodes",8.2
Mars,#1080,"Taiwanese Drama - 2004, 13 episodes",8.2
Gannibal Season 2,#1081,"Japanese Drama - 2025, 8 episodes",8.2
The Next Prince: Uncut,#1082,"Thai Drama - 2025, 14 episodes",8.2
The Wind Blows from Longxi,#1083,"Chinese Drama - 2022, 24 episodes",8.2
Love in Pavilion,#1084,"Chinese Drama - 2025, 36 episodes",8.2
Line Walker,#1085,"Hong Kong Drama - 2014, 31 episodes",8.2
Doctor X,#1086,"Japanese Drama - 2012, 8 episodes",8.2
Chief of Staff Season 2,#1087,"Korean Drama - 2019, 10 episodes",8.2
The Way of the Househusband,#1088,"Japanese Drama - 2020, 10 episodes",8.2
The Brightest Star in the Sky,#1089,"Chinese Drama - 2019, 44 episodes",8.2
Petrichor: Uncut,#1090,"Thai Drama - 2024, 10 episodes",8.2
Hyena,#1091,"Korean Drama - 2020, 16 episodes",8.2
Why Women Love,#1092,"Chinese Drama - 2022, 24 episodes",8.2
"Love, Take Two",#1093,"Korean Drama - 2025, 12 episodes",8.2
Chihayafuru: Full Circle,#1094,"Japanese Drama - 2025, 10 episodes",8.2
Love in Time,#1095,"Chinese Drama - 2022, 24 episodes",8.2
Queen of Mystery,#1096,"Korean Drama - 2017, 16 episodes",8.2
Search,#1097,"Korean Drama - 2020, 10 episodes",8.2
Flight to You,#1098,"Chinese Drama - 2022, 39 episodes",8.1
Amachan,#1099,"Japanese Drama - 2013, 156 episodes",8.2
Midnight Diner: Tokyo Stories Season 2,#1100,"Japanese Drama - 2019, 10 episodes",8.2
Feud,#1101,"Chinese Drama - 2025, 32 episodes",8.1
My Lovely Liar,#1102,"Korean Drama - 2023, 16 episodes",8.2
A Beautiful Mind,#1103,"Korean Drama - 2016, 14 episodes",8.2
Tokusatsu Gagaga,#1104,"Japanese Drama - 2019, 7 episodes",8.2
Cold Case: Shinjitsu no Tobira Season 2,#1105,"Japanese Drama - 2018, 10 episodes",8.1
Pull Strings,#1106,"Chinese Drama - 2026, 30 episodes",8.2
Falling High School Girl and Irresponsible Teacher,#1107,"Japanese Drama - 2023, 9 episodes",8.1
Old Fashion Cupcake Epilogue: Apple Pie,#1108,"Japanese Special - 2022, 1 episodes",8.1
When the Weather Is Fine,#1109,"Korean Drama - 2020, 16 episodes",8.1
The Rebel,#1110,"Chinese Drama - 2021, 43 episodes",8.1
XX,#1111,"Korean Drama - 2020, 10 episodes",8.1
Giant,#1112,"Korean Drama - 2010, 60 episodes",8.1
Worst to First: A Teen Baseball Miracle,#1113,"Japanese Drama - 2023, 10 episodes",8.1
The Story of Pearl Girl,#1114,"Chinese Drama - 2024, 40 episodes",8.1
Thee and Thee,#1115,"Thai Drama - 2026, 6 episodes",8.1
Café Minamdang,#1116,"Korean Drama - 2022, 18 episodes",8.1
Woman,#1117,"Japanese Drama - 2013, 11 episodes",8.1
History of the Salaryman,#1118,"Korean Drama - 2012, 22 episodes",8.1
Associate Professor Akira Takatsuki's Inference,#1119,"Japanese Drama - 2021, 8 episodes",8.1
"Fanletter, Please",#1120,"Korean Drama - 2022, 4 episodes",8.1
Summer Rose,#1121,"Chinese Drama - 2025, 82 episodes",8.1
Alice in Borderland Season 3,#1122,"Japanese Drama - 2025, 6 episodes",8.1
You're All Surrounded,#1123,"Korean Drama - 2014, 20 episodes",8.1
When a Snail Falls in Love,#1124,"Chinese Drama - 2016, 21 episodes",8.1
Butterflied Lover,#1125,"Chinese Drama - 2023, 22 episodes",8.1
"My Bias, My Boss",#1126,"Korean Drama - 2026, 12 episodes",8.1
High Kick!,#1127,"Korean Drama - 2006, 167 episodes",8.1
Psych-Hunter,#1128,"Chinese Drama - 2020, 36 episodes",8.1
Moon River,#1129,"Korean Drama - 2025, 14 episodes",8.1
Quartet,#1130,"Japanese Drama - 2017, 10 episodes",8.1
Love beyond the Grave,#1131,"Chinese Drama - 2026, 40 episodes",8.1
Behind Your Touch,#1132,"Korean Drama - 2023, 16 episodes",8.1
The Sound of Magic,#1133,"Korean Drama - 2022, 6 episodes",8.1
Evilive,#1134,"Korean Drama - 2023, 10 episodes",8.1
The Rational Life,#1135,"Chinese Drama - 2021, 35 episodes",8.1
Time Between Dog and Wolf,#1136,"Korean Drama - 2007, 16 episodes",8.1
Midnight Museum,#1137,"Thai Drama - 2023, 10 episodes",8.1
Dear Sister,#1138,"Japanese Drama - 2014, 10 episodes",8.1
A Little Thing Called First Love,#1139,"Chinese Drama - 2019, 36 episodes",8.1
Diary of a Prosecutor,#1140,"Korean Drama - 2019, 16 episodes",8.1
The Secret Romantic Guesthouse,#1141,"Korean Drama - 2023, 18 episodes",8.1
Radiation House,#1142,"Japanese Drama - 2019, 11 episodes",8.1
Dear Hongrang,#1143,"Korean Drama - 2025, 11 episodes",8.1
Like Flowers in Sand,#1144,"Korean Drama - 2023, 12 episodes",8.1
Bitch X Rich Season 2,#1145,"Korean Drama - 2025, 10 episodes",8.1
Ripe Town,#1146,"Chinese Drama - 2023, 12 episodes",8.1
Copycat Killer,#1147,"Taiwanese Drama - 2023, 10 episodes",8.1
